GCA_000447455.1	alpha	SRR845178	ftp.sra.ebi.ac.uk/vol1/fastq/SRR845/SRR845178/SRR845178_1.fastq.gz	18566852
GCA_000447475.1	alpha	SRR845269	ftp.sra.ebi.ac.uk/vol1/fastq/SRR845/SRR845269/SRR845269_1.fastq.gz	19149181
GCA_000447495.1	alpha	SRR845182	ftp.sra.ebi.ac.uk/vol1/fastq/SRR845/SRR845182/SRR845182_1.fastq.gz	15399306
GCA_000447515.1	alpha	SRR845262	ftp.sra.ebi.ac.uk/vol1/fastq/SRR845/SRR845262/SRR845262_1.fastq.gz	17404312
GCA_000447535.1	alpha	SRR845222	ftp.sra.ebi.ac.uk/vol1/fastq/SRR845/SRR845222/SRR845222_1.fastq.gz	17953634
GCA_000447555.1	alpha	SRR845283	ftp.sra.ebi.ac.uk/vol1/fastq/SRR845/SRR845283/SRR845283_1.fastq.gz	18687856
GCA_000691765.2	A+alpha	SRR848045	ftp.sra.ebi.ac.uk/vol1/fastq/SRR848/SRR848045/SRR848045_1.fastq.gz	26115236
GCA_000773745.1	A	SRR393526	ftp.sra.ebi.ac.uk/vol1/fastq/SRR393/SRR393526/SRR393526_1.fastq.gz	9844333
GCA_000773755.1	A	SRR393524	ftp.sra.ebi.ac.uk/vol1/fastq/SRR393/SRR393524/SRR393524_1.fastq.gz	10292514
GCA_000773825.1	A	SRR393516	ftp.sra.ebi.ac.uk/vol1/fastq/SRR393/SRR393516/SRR393516_1.fastq.gz	11234444
GCA_000773845.1	A	SRR392813	ftp.sra.ebi.ac.uk/vol1/fastq/SRR392/SRR392813/SRR392813_1.fastq.gz	11310610
GCA_000774085.1	A	SRR393517	ftp.sra.ebi.ac.uk/vol1/fastq/SRR393/SRR393517/SRR393517_1.fastq.gz	10868097
GCA_000775465.1	A+alpha	SRR393525	ftp.sra.ebi.ac.uk/vol1/fastq/SRR393/SRR393525/SRR393525_1.fastq.gz	12972555
GCA_000784525.1	A	SRR530262	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/SRR530262/SRR530262_1.fastq.gz	27994076
