genome	group	family	species	orth_tptA	orth_rnhA	strict_tptA	strict_rnhA	pair	pair_hmg	near_hmg	n_loci	called	loci_hmg_between	loci_flank_conf
GCA_000325505.1_RHIrdgD1.0	Mucoromycota	Rhizopodaceae	Rhizopus microsporus	True	True	True	True	False	False	True	1	True	0	1
GCA_000401635.1_Muco_sp_1006Ph_V1	Mucoromycota	Mucoraceae	Mucor circinelloides	True	True	True	True	True	True	True	2	True	1	1
GCA_000534915.1_ASM53491v1	Mucoromycota	Umbelopsidaceae	Umbelopsis isabellina	True	True	True	True	False	False	True	2	True	0	1
GCA_000587855.1_B50	Mucoromycota	Mucoraceae	Mucor irregularis	True	True	True	True	True	True	True	2	True	1	1
GCA_000611695.1_RhzM_1.0	Mucoromycota	Lichtheimiaceae	Rhizomucor miehei	True	True	True	True	False	False	False	1	False	0	0
GCA_000696895.1_MucVelB5328-1.0	Mucoromycota	Mucoraceae	Mucor velutinosus	True	True	True	True	True	True	True	2	True	1	1
GCA_000696915.1_RhiOryB7407-1.0	Mucoromycota	Rhizopodaceae	Rhizopus arrhizus	True	True	True	True	True	True	True	3	True	1	1
GCA_000696935.1_MucCirB8987-1.0	Mucoromycota	Mucoraceae	Mucor circinelloides	True	True	True	True	True	True	True	2	True	1	1
GCA_000696955.1_SynRacB6101-1.0	Mucoromycota	Syncephalastraceae	Syncephalastrum racemosum	True	True	True	True	False	False	True	4	True	0	1
GCA_000696975.1_ApoTraB9324-1.0	Mucoromycota	Mucoraceae	Apophysomyces trapeziformis	True	True	True	True	False	False	True	1	True	0	1
GCA_000696995.1_ApoEleB7760-1.0	Mucoromycota	Mucoraceae	Apophysomyces elegans	True	True	True	True	False	False	True	1	True	0	1
GCA_000697015.1_CunEleB9769-1.0	Mucoromycota	Cunninghamellaceae	Cunninghamella elegans	True	True	True	True	True	True	True	1	True	1	1
GCA_000697035.1_RhiStoB9770-1.0	Mucoromycota	Rhizopodaceae	Rhizopus stolonifer	True	True	True	True	False	False	True	1	True	1	1
GCA_000697055.1_SakVasB4078-1.0	Mucoromycota	Saksenaeaceae	Saksenaea vasiformis	True	True	True	True	True	False	True	2	True	0	1
GCA_000697075.1_RhiOry13440-1.0	Mucoromycota	Rhizopodaceae	Rhizopus arrhizus	True	True	True	True	True	True	True	2	True	1	1
GCA_000697095.1_RhiDel18148-1.0	Mucoromycota	Rhizopodaceae	Rhizopus arrhizus	True	True	True	True	False	False	True	3	True	0	1
GCA_000697115.1_RhiOry21396-1.0	Mucoromycota	Rhizopodaceae	Rhizopus arrhizus	True	True	True	True	True	True	True	3	True	1	1
GCA_000697135.1_RhiOry99-133-1.0	Mucoromycota	Rhizopodaceae	Rhizopus arrhizus	True	True	True	True	True	True	True	2	True	1	1
GCA_000697155.1_RhiDel21789-1.0	Mucoromycota	Rhizopodaceae	Rhizopus delemar	True	True	True	True	False	False	True	2	True	1	1
GCA_000697175.1_LicCor008-049-1.0	Mucoromycota	Lichtheimiaceae	Lichtheimia corymbifera	True	True	True	True	False	False	False	1	False	0	0
GCA_000697195.1_MucRam97-1192-1.0	Mucoromycota	Rhizopodaceae	Rhizopus arrhizus	True	True	True	True	True	True	True	3	True	1	1
GCA_000697215.1_CunBer175-1.0	Mucoromycota	Cunninghamellaceae	Cunninghamella bertholletiae	True	True	True	True	True	True	True	1	True	1	1
GCA_000697235.1_CokRecB5483-1.0	Mucoromycota	Mucoraceae	Cokeromyces recurvatus	False	True	False	True	False	False	True	2	True	1	1
GCA_000697255.1_MucRacB9645-1.0	Mucoromycota	Mucoraceae	Mucor racemosus	True	True	True	True	False	False	True	2	True	1	2
GCA_000697275.1_RhiMicB9738-1.0	Mucoromycota	Rhizopodaceae	Rhizopus microsporus	True	True	True	True	False	False	True	2	True	1	2
GCA_000697295.1_MucIndB7402-1.0	Mucoromycota	Mucoraceae	Mucor indicus	True	True	True	True	False	False	True	6	True	0	2
GCA_000697315.1_CunBerB7461-1.0	Mucoromycota	Cunninghamellaceae	Cunninghamella bertholletiae	True	True	True	True	True	True	True	1	True	1	1
GCA_000697355.1_SynMonB8922-1.0	Mucoromycota	Syncephalastraceae	Syncephalastrum monosporum	True	True	True	True	False	False	True	4	True	0	1
GCA_000697395.1_LicCorB5792-1.0	Mucoromycota	Lichtheimiaceae	Lichtheimia ramosa	True	True	True	True	False	False	False	2	False	0	0
GCA_000697415.1_UmbIsaB7317-1.0	Mucoromycota	Umbelopsidaceae	Umbelopsis isabellina	True	True	True	True	False	False	True	1	True	0	1
GCA_000697435.1_RhiVarB7584-1.0	Mucoromycota	Mucoraceae	Mucor irregularis	True	True	True	True	True	True	True	2	True	1	1
GCA_000697475.1_LicCorB2541-1.0	Mucoromycota	Lichtheimiaceae	Lichtheimia corymbifera	True	True	True	True	False	False	False	1	False	0	0
GCA_000697495.1_SakOblB3353-1.0	Mucoromycota	Saksenaeaceae	Saksenaea oblongispora	True	True	True	True	False	False	True	3	True	0	1
GCA_000697605.1_RhiOryHUMC02-1.0	Mucoromycota	Rhizopodaceae	Rhizopus arrhizus	True	True	True	True	True	True	True	3	True	1	1
GCA_000697725.1_RhiOry99-892-1.0	Mucoromycota	Rhizopodaceae	Rhizopus arrhizus	True	True	True	True	True	True	True	3	True	1	1
GCA_000723665.1_454Minimus	Mucoromycota	Lichtheimiaceae	Lichtheimia corymbifera	True	True	True	True	False	False	False	2	False	0	0
GCA_000738555.1_LicRamB5399-1.0	Mucoromycota	Lichtheimiaceae	Lichtheimia ramosa	True	True	True	True	False	False	False	2	False	0	0
GCA_000738565.1_RhiAzyB7455-1.0	Mucoromycota	Rhizopodaceae	Rhizopus microsporus	True	True	True	True	False	False	True	1	True	0	1
GCA_000738585.1_RhiDel21477-1.0	Mucoromycota	Rhizopodaceae	Rhizopus delemar	True	True	True	True	True	True	True	3	True	1	2
GCA_000738595.1_RhiDel21447-1.0	Mucoromycota	Rhizopodaceae	Rhizopus delemar	True	True	True	True	True	True	True	2	True	1	1
GCA_000738605.1_RhiDel21446-1.0	Mucoromycota	Rhizopodaceae	Rhizopus delemar	True	True	True	True	True	True	True	2	True	1	1
