panel	genome	phylum	class	order	family_tax	species	mat_family	contig	start	end	confidence	locus_class	idiomorph	outcome	why	flank_lo	flank_hi	n_flank_genes	flank_genes	core_genes	max_core_dist_bp	polish_capped_cluster	core_detail	flank_detail	genes_best_here	genes_best_elsewhere	best_here_detail	verdict
cap6	GCA_001600575.1_JCM_8837_assembly_v001	Ascomycota	Sordariomycetes	Xylariales	Vamsapriyaceae	Didymobotryum rigidum	Ascomycota:MAT	BCKI01000011.1	1298709	1376537	medium	mat_locus	MAT1-1	withheld	core_outside_span	1298730	1314374	3	APN2,COX13,SLA2	MAT1-1-2,MAT1-1-3,MAT1-1-4,MAT1-2-1,MAT1-2-4	58939	False	MAT1-1-2:1303857-1304024:36.066:16.0:unpolished;MAT1-1-3:1308036-1308131:34.375:18.0:not_polish_candidate;MAT1-2-1:1308045-1308143:39.394:11.0:unpolished;MAT1-1-4:1353328-1353462:34.694:20.0:unpolished;MAT1-2-4:1376313-1376537:33.735:31.0:unpolished	SLA2:1298730-1302034:86.22:None:polished_agree;APN2:1310924-1313051:56.22:None:polished_disagree;COX13:1313629-1314374:66.67:None:polished_agree		MAT1-1-3,MAT1-2-1		best_hit_elsewhere
cap6	GCA_001602355.1_JCM_30695_assembly_v001	Ascomycota	Dipodascomycetes	Dipodascales		Yarrowia sp. JCM 30695	Ascomycota:MAT	BCLX01000007.1	270934	318629	medium	mat_locus	MAT1-1	withheld	core_outside_span	275752	284166	2	APN2,SLA2	MAT1-1-1,MAT1-1-2	19533	False	MAT1-1-2:270934-271077:33.333:12.0:unpolished;MAT1-1-1:306699-306788:36.667:8.0:unpolished	APN2:275752-276057:51.96:None:polished_disagree;SLA2:282427-284166:55.48:None:polished_disagree	MTLalpha1	MAT1-1-3,MAT1-2-1,Rsm22-like,mat1-Mc,matMc,matPi	MTLalpha1:47:32%:3e-06	best_hit_here
cap6	GCA_001939105.2_Sxyl_2.0	Ascomycota	Dipodascomycetes	Dipodascales	Trichomonascaceae	Sugiyamaella xylanicola	Ascomycota:MAT	MQSX02000010.1	173788	180995	medium	mat_locus	MAT1-2	low	inside	173815	180995	2	APN2,SLA2	MAT1-2-1	0	False	MAT1-2-1:178128-178238:39.474:11.0:unpolished	SLA2:173815-175758:57.1:None:polished_disagree;APN2:179913-180995:45.71:None:polished_disagree		MAT1-1-3,MAT1-2-1,MATALPHA2,Rsm22-like,mat1-Mc,mat1-Pi,matMc,matPi		best_hit_elsewhere
cap6	GCA_001939105.2_Sxyl_2.0	Ascomycota	Dipodascomycetes	Dipodascales	Trichomonascaceae	Sugiyamaella xylanicola	Ascomycota:MATyl	MQSX02000010.1	173788	180995	medium	mat_locus	A	low	inside	173815	180224	2	apn2,sla2	mata1	0	False	mata1:177079-177204:45.238:24.0:unpolished	sla2:173815-176952:57.92:None:polished_agree;apn2:179886-180224:52.29:None:polished_disagree		MAT1-1-3,MAT1-2-1,MATALPHA2,Rsm22-like,mat1-Mc,mat1-Pi,matMc,matPi		best_hit_elsewhere
cap6	GCA_003705735.3_ASM370573v3	Ascomycota	Dipodascomycetes	Dipodascales	Trichomonascaceae	Blastobotrys peoriensis	Ascomycota:MAT	PPJJ03000115.1	9423	32941	medium	partial_locus	MAT1-1	low	inside	26311	32941	2	APN2,SLA2	MAT1-1-3	0	False	MAT1-1-3:28258-28347:40.0:17.0:unpolished	APN2:26311-26931:46.12:None:polished_disagree;SLA2:29810-32941:57.84:None:polished_agree		MAT1-1-3,MAT1-2-1,MATALPHA2,Rsm22-like,mat1-Mc,mat1-Pi,matMc,matPi		best_hit_elsewhere
cap6	GCA_003705735.3_ASM370573v3	Ascomycota	Dipodascomycetes	Dipodascales	Trichomonascaceae	Blastobotrys peoriensis	Ascomycota:MATtub	PPJJ03000115.1	9423	32941	medium	mat_locus	MAT1-2	withheld	core_outside_span	26311	32635	2	APN2,SLA2	MAT1-2-1	13607	False	MAT1-2-1:9423-9704:25.49:48.0:unpolished	APN2:26311-26925:46.31:None:polished_single;SLA2:29798-32635:55.46:None:polished_disagree		MAT1-1-3,MAT1-2-1,MATALPHA2,Rsm22-like,mat1-Mc,mat1-Pi,matMc,matPi		best_hit_elsewhere
cap6	GCA_003707065.3_ASM370706v3	Ascomycota	Trigonopsidomycetes	Trigonopsidales	Trigonopsidaceae	Trigonopsis variabilis	Ascomycota:MAT	PPXM03000002.1	1171733	1206054	medium	mat_locus	MAT1-2	withheld	core_outside_span	1174899	1200089	2	APN2,SLA2	MAT1-1-3,MAT1-2-1	6	False	MAT1-2-1:1171795-1171893:48.485:10.0:unpolished;MAT1-1-3:1171883-1172134:37.209:41.0:not_polish_candidate	APN2:1174899-1175435:50.84:None:polished_single;SLA2:1196840-1200089:60.82:None:polished_agree	MAT1-1-3,matMc	MAT1-2-1,MATA2,MATALPHA2,MTLalpha2,Rsm22-like,mat1-Mc,matPi	MAT1-1-3:57:37%:4e-10;matMc:66:36%:1e-12	best_hit_here
cap6	GCA_003707065.3_ASM370706v3	Ascomycota	Trigonopsidomycetes	Trigonopsidales	Trigonopsidaceae	Trigonopsis variabilis	Ascomycota:MATtub	PPXM03000002.1	1171733	1206054	medium	mat_locus	MAT1-2	low	inside	1174761	1199717	2	APN2,SLA2	MAT1-2-1	0	False	MAT1-2-1:1171886-1172134:36.047:46.0:unpolished	APN2:1174761-1175435:48.89:None:polished_single;SLA2:1196834-1199717:59.18:None:polished_disagree	MAT1-1-3,matMc	MAT1-2-1,MATA2,MATALPHA2,MTLalpha2,Rsm22-like,mat1-Mc,matPi	MAT1-1-3:57:37%:4e-10;matMc:66:36%:1e-12	best_hit_here
cap6	GCA_003707485.3_ASM370748v3	Ascomycota	Dipodascomycetes	Dipodascales	Trichomonascaceae	Blastobotrys proliferans	Ascomycota:MAT	PPJI03000071.1	2066	18026	medium	mat_locus	MAT1-1	withheld	core_outside_span	11013	18020	2	APN2,SLA2	MAT1-1-1,MAT1-1-2	5807	False	MAT1-1-2:2066-2206:34.043:10.0:unpolished;MAT1-1-1:14643-14885:24.691:26.0:unpolished	SLA2:11013-12941:56.56:None:polished_disagree;APN2:17421-18020:50.51:None:polished_disagree	MTLalpha1	MAT1-1-3,MAT1-2-1,MATALPHA2,Rsm22-like,mat1-Mc,mat1-Pi,matMc,matPi	MTLalpha1:46:32%:4e-06	best_hit_here
cap6	GCA_003707485.3_ASM370748v3	Ascomycota	Dipodascomycetes	Dipodascales	Trichomonascaceae	Blastobotrys proliferans	Ascomycota:MAT	PPJI03000006.1	258089	274844	medium	mat_locus	MAT1-2	low	inside	258184	261877	2	APN2,SLA2	MAT1-2-1	0	False	MAT1-2-1:259958-260080:34.043:18.0:unpolished	APN2:258184-258714:42.42:None:polished_disagree;SLA2:261409-261877:62.18:None:polished_agree		MAT1-1-3,MAT1-2-1,MATALPHA2,MTLalpha1,Rsm22-like,mat1-Mc,mat1-Pi,matMc,matPi		best_hit_elsewhere
