panel	genome	order	species	mat_family	outcome	why	max_core_dist_bp	call	gene	rank_here	n_loci_e1e-3	here_evalue	here_bits	here_pid	best_evalue	best_where
cap6	GCA_001600575.1_JCM_8837_assembly_v001	Xylariales	Didymobotryum rigidum	Ascomycota:MAT	withheld	core_outside_span	58939	BCKI01000011.1:1298709-1376537	MAT1-1-2	1	1	0.000122	44.7	36.066	0.000122	BCKI01000011.1:1303857
cap6	GCA_001600575.1_JCM_8837_assembly_v001	Xylariales	Didymobotryum rigidum	Ascomycota:MAT	withheld	core_outside_span	58939	BCKI01000011.1:1298709-1376537	MAT1-1-3	5	2	0.25	32.0	34.375	3.69e-10	BCKI01000002.1:396535
cap6	GCA_001600575.1_JCM_8837_assembly_v001	Xylariales	Didymobotryum rigidum	Ascomycota:MAT	withheld	core_outside_span	58939	BCKI01000011.1:1298709-1376537	MAT1-1-4	4	0	2.4	29.6	34.694	1.3	BCKI01000007.1:480731
cap6	GCA_001600575.1_JCM_8837_assembly_v001	Xylariales	Didymobotryum rigidum	Ascomycota:MAT	withheld	core_outside_span	58939	BCKI01000011.1:1298709-1376537	MAT1-2-1	8	3	0.53	32.7	28.302	1.34e-16	BCKI01000002.1:396532
cap6	GCA_001600575.1_JCM_8837_assembly_v001	Xylariales	Didymobotryum rigidum	Ascomycota:MAT	withheld	core_outside_span	58939	BCKI01000011.1:1298709-1376537	MAT1-2-4	1	0	0.057	35.0	33.735	0.057	BCKI01000011.1:1376313
cap6	GCA_001602355.1_JCM_30695_assembly_v001	Dipodascales	Yarrowia sp. JCM 30695	Ascomycota:MAT	withheld	core_outside_span	19533	BCLX01000007.1:270934-318629	MAT1-1-1	2	0	0.33	32.3	29.508	0.34	BCLX01000001.1:2693722
cap6	GCA_001602355.1_JCM_30695_assembly_v001	Dipodascales	Yarrowia sp. JCM 30695	Ascomycota:MAT	withheld	core_outside_span	19533	BCLX01000007.1:270934-318629	MAT1-1-2	5	0	2.6	30.0	33.333	0.23	BCLX01000004.1:2905596
cap6	GCA_001939105.2_Sxyl_2.0	Dipodascales	Sugiyamaella xylanicola	Ascomycota:MAT	low	inside	0	MQSX02000010.1:173788-180995	MAT1-2-1	7	3	0.11	33.5	37.5	8.46e-19	MQSX02000004.1:135450
cap6	GCA_001939105.2_Sxyl_2.0	Dipodascales	Sugiyamaella xylanicola	Ascomycota:MATyl	low	inside	0	MQSX02000010.1:173788-180995	mata1	1	1	8.29e-05	41.2	45.238	8.29e-05	MQSX02000010.1:177079
cap6	GCA_003705735.3_ASM370573v3	Dipodascales	Blastobotrys peoriensis	Ascomycota:MAT	low	inside	0	PPJJ03000115.1:9423-32941	MAT1-1-3	17	2	5.5	26.6	40.0	1.18e-10	PPJJ03000107.1:24226
