panel	genome	order	species	mat_family	outcome	call	gene	domain	rank_here	n_loci_genomewide	best_here_bits	best_here_pid	best_bits	best_where
cap6	GCA_001600575.1_JCM_8837_assembly_v001	Xylariales	Didymobotryum rigidum	Ascomycota:MAT	withheld	BCKI01000011.1:1298709-1376537	MAT1-1-2	other	1	1	44.7	36.066	44.7	BCKI01000011.1:1303857
cap6	GCA_001600575.1_JCM_8837_assembly_v001	Xylariales	Didymobotryum rigidum	Ascomycota:MAT	withheld	BCKI01000011.1:1298709-1376537	MAT1-1-3	other	absent	2			58.2	BCKI01000002.1:396535
cap6	GCA_001600575.1_JCM_8837_assembly_v001	Xylariales	Didymobotryum rigidum	Ascomycota:MAT	withheld	BCKI01000011.1:1298709-1376537	MAT1-1-4	other	absent	0				
cap6	GCA_001600575.1_JCM_8837_assembly_v001	Xylariales	Didymobotryum rigidum	Ascomycota:MAT	withheld	BCKI01000011.1:1298709-1376537	MAT1-2-1	HMG	absent	3			80.9	BCKI01000002.1:396532
cap6	GCA_001600575.1_JCM_8837_assembly_v001	Xylariales	Didymobotryum rigidum	Ascomycota:MAT	withheld	BCKI01000011.1:1298709-1376537	MAT1-2-4	HMG	absent	0				
cap6	GCA_001602355.1_JCM_30695_assembly_v001	Dipodascales	Yarrowia sp. JCM 30695	Ascomycota:MAT	withheld	BCLX01000007.1:270934-318629	MAT1-1-1	other	absent	0				
cap6	GCA_001602355.1_JCM_30695_assembly_v001	Dipodascales	Yarrowia sp. JCM 30695	Ascomycota:MAT	withheld	BCLX01000007.1:270934-318629	MAT1-1-2	other	absent	0				
cap6	GCA_001939105.2_Sxyl_2.0	Dipodascales	Sugiyamaella xylanicola	Ascomycota:MAT	low	MQSX02000010.1:173788-180995	MAT1-2-1	HMG	absent	2			86.3	MQSX02000004.1:135450
cap6	GCA_001939105.2_Sxyl_2.0	Dipodascales	Sugiyamaella xylanicola	Ascomycota:MATyl	low	MQSX02000010.1:173788-180995	mata1	other	1	1	41.2	45.238	41.2	MQSX02000010.1:177079
cap6	GCA_003705735.3_ASM370573v3	Dipodascales	Blastobotrys peoriensis	Ascomycota:MAT	low	PPJJ03000115.1:9423-32941	MAT1-1-3	other	absent	2			58.5	PPJJ03000107.1:24229
cap6	GCA_003705735.3_ASM370573v3	Dipodascales	Blastobotrys peoriensis	Ascomycota:MATtub	withheld	PPJJ03000115.1:9423-32941	MAT1-2-1	HMG	absent	2			83.6	PPJJ03000107.1:24211
cap6	GCA_003707065.3_ASM370706v3	Trigonopsidales	Trigonopsis variabilis	Ascomycota:MAT	withheld	PPXM03000002.1:1171733-1206054	MAT1-1-3	other	1	3	56.6	37.209	56.6	PPXM03000002.1:1171883
cap6	GCA_003707065.3_ASM370706v3	Trigonopsidales	Trigonopsis variabilis	Ascomycota:MAT	withheld	PPXM03000002.1:1171733-1206054	MAT1-2-1	HMG	2	3	48.5	36.047	68.9	PPXM03000001.1:227957
cap6	GCA_003707065.3_ASM370706v3	Trigonopsidales	Trigonopsis variabilis	Ascomycota:MATtub	low	PPXM03000002.1:1171733-1206054	MAT1-2-1	HMG	2	3	48.5	36.047	68.9	PPXM03000001.1:227957
cap6	GCA_003707485.3_ASM370748v3	Dipodascales	Blastobotrys proliferans	Ascomycota:MAT	withheld	PPJI03000071.1:2066-18026	MAT1-1-1	other	absent	0				
cap6	GCA_003707485.3_ASM370748v3	Dipodascales	Blastobotrys proliferans	Ascomycota:MAT	withheld	PPJI03000071.1:2066-18026	MAT1-1-2	other	absent	0				
