asmid	method	bioproject	contigs	call
GCA_001049995.1_VPCI_479_P_13	Velvet	PRJEB9463	825	A
GCA_046254435.1_ASM4625443v1	SPAdes v. 3.15.4	PRJNA1164417	154	A
GCA_046254405.1_ASM4625440v1	SPAdes v. 3.15.4	PRJNA1164417	162	A
GCA_046254375.1_ASM4625437v1	SPAdes v. 3.15.4	PRJNA1164417	214	A
GCA_046254355.1_ASM4625435v1	SPAdes v. 3.15.4	PRJNA1164417	192	A
GCA_059630025.1_MRSN101498	Shovill v. 1.0.9	PRJNA1473289	41	A
GCA_046254265.1_ASM4625426v1	SPAdes v. 3.15.4	PRJNA1164417	212	A
GCA_046254305.1_ASM4625430v1	SPAdes v. 3.15.4	PRJNA1164417	222	A
GCA_046254295.1_ASM4625429v1	SPAdes v. 3.15.4	PRJNA1164417	194	A
GCA_046254225.1_ASM4625422v1	SPAdes v. 3.15.4	PRJNA1164417	217	A
GCA_046254205.1_ASM4625420v1	SPAdes v. 3.15.4	PRJNA1164417	218	A
GCA_046254165.1_ASM4625416v1	SPAdes v. 3.15.4	PRJNA1164417	179	A
GCA_046254135.1_ASM4625413v1	SPAdes v. 3.15.4	PRJNA1164417	205	A
GCA_046254115.1_ASM4625411v1	SPAdes v. 3.15.4	PRJNA1164417	209	A
GCA_046254055.1_ASM4625405v1	SPAdes v. 3.15.4	PRJNA1164417	212	A
GCA_046254025.1_ASM4625402v1	SPAdes v. 3.15.4	PRJNA1164417	168	A
GCA_046254075.1_ASM4625407v1	SPAdes v. 3.15.4	PRJNA1164417	246	A
GCA_046253995.1_ASM4625399v1	SPAdes v. 3.15.4	PRJNA1164417	233	A
GCA_046253955.1_ASM4625395v1	SPAdes v. 3.15.4	PRJNA1164417	219	A
GCA_046253895.1_ASM4625389v1	SPAdes v. 3.15.4	PRJNA1164417	226	A
GCA_046253925.1_ASM4625392v1	SPAdes v. 3.15.4	PRJNA1164417	232	A
GCA_046253845.1_ASM4625384v1	SPAdes v. 3.15.4	PRJNA1164417	208	A
GCA_046253875.1_ASM4625387v1	SPAdes v. 3.15.4	PRJNA1164417	209	A
GCA_046253815.1_ASM4625381v1	SPAdes v. 3.15.4	PRJNA1164417	208	A
GCA_046253775.1_ASM4625377v1	SPAdes v. 3.15.4	PRJNA1164417	203	A
GCA_046253715.1_ASM4625371v1	SPAdes v. 3.15.4	PRJNA1164417	216	A
GCA_027886145.1_ASM2788614v1	BWA-MEM v. 0.7.17	PRJNA865124	88	A
GCA_046253755.1_ASM4625375v1	SPAdes v. 3.15.4	PRJNA1164417	174	A
GCA_046253665.1_ASM4625366v1	SPAdes v. 3.15.4	PRJNA1164417	217	A
GCA_059630005.1_MRSN120660	Shovill v. 1.0.9	PRJNA1473289	53	A
